@id,dc:source,dct:description,op:featureOfInterest,op:objectOfInterest,qudt:generalization,qudt:generalizationOfSystem,qudt:specialization,qudt:unit,rdf:type,rdfs:comment,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:broaderTransitive,skos:changeNote,skos:definition,skos:historyNote,skos:member,skos:narrower,skos:notation,skos:prefLabel,skos:related
<http://registry.it.csiro.au/def/environment/property/bromobenzene_concentration>,eReefs,'bromobenzene concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/bromobenzene>,<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",bromobenzene concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'bromobenzene concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/bromochloromethane_concentration>,eReefs,'bromochloromethane concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/bromochloromethane>,<http://registry.it.csiro.au/def/environment/property/organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/haloalkane_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",bromochloromethane concentration,"",'methylene bromochloride concentration'^^xsd:string,<http://registry.it.csiro.au/def/environment/property/organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/haloalkane_concentration>,"","","","","","","",'bromochloromethane concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/bromodichloromethane_concentration>,eReefs,'bromodichloromethane concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/bromodichloromethane>,<http://registry.it.csiro.au/def/environment/property/organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/haloalkane_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",bromodichloromethane concentration,"",'dichlorobromomethane'^^xsd:string,<http://registry.it.csiro.au/def/environment/property/organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/haloalkane_concentration>,"","","","","","","",'bromodichloromethane concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/bromomethane_concentration>,eReefs,'bromomethane concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/bromomethane>,<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",bromomethane concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'bromomethane concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/bromophos-ethyl_concentration>,eReefs,'bromophos-ethyl concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/bromophos-ethyl>,<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",bromophos-ethyl concentration,"","'O-4-bromo-2,5-dichlorophenyl O,O-diethyl phosphorothioate'^^xsd:string",<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'bromophos-ethyl concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/butane_concentration>,eReefs,'butane concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/butane>,<http://registry.it.csiro.au/def/environment/property/hydrocarbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/n-butane_concentration>,<http://http://registry.it.csiro.au/def/environment/unit/MolPercent>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",butane concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/hydrocarbon_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/n-butane_concentration>,"",'butane concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/butanone_concentration>,eReefs,'butanone concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/butanone>,<http://registry.it.csiro.au/def/environment/property/organic_compound_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",butanone concentration,"",'2-butanone'^^xsd:string|'MEK'^^xsd:string,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/organic_compound_concentration>,"","","","","","","",'butanone concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/cadmium_concentration>,eReefs,'cadmium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/cadmium>,<http://registry.it.csiro.au/def/environment/property/transition_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",cadmium concentration,"","",<http://registry.it.csiro.au/def/environment/property/transition_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'cadmium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/caesium_concentration>,eReefs,'caesium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/caesium>,<http://registry.it.csiro.au/def/environment/property/alkali_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,op:ScaledQuantityKind|qudt:ChemistryQuantityKind|skos:Concept,"",caesium concentration,"",'cesium'^^xsd:string,<http://registry.it.csiro.au/def/environment/property/alkali_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'caesium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/calcium_carbonate_concentration>,eReefs,'calcium carbonate concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/calcium_carbonate>,<http://registry.it.csiro.au/def/environment/property/carbonate_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","",skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",calcium carbonate concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbonate_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'calcium carbonate concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/calcium_concentration>,eReefs,'calcium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/calcium>,<http://registry.it.csiro.au/def/environment/property/alkaline_earth_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram>|<http://qudt.org/vocab/unit#Percent>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",calcium concentration,"","",<http://registry.it.csiro.au/def/environment/property/alkaline_earth_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'calcium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>,eReefs,'carbon 13 concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_13>,<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>,"","",<http://qudt.org/vocab/unit#Percent>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",carbon 13 concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'carbon 13 concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>,eReefs,'carbon 14 concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_14>,<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://qudt.org/vocab/unit#Percent>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",carbon 14 concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>,"","","","","","","",'carbon 14 concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_average_content>,eReefs,'carbon - average content'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>,<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",carbon - average content,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>,"",'carbon - average content'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_concentration>,eReefs,'carbon concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>,"",qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",carbon concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>,"",'carbon concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_dioxide_concentration>,eReefs,'total dissolved carbon dioxide concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_dioxide>,<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MolPercent>|<http://qudt.org/vocab/unit#Percent>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",total dissolved carbon dioxide concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'total dissolved carbon dioxide concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_dioxide_flux>,eReefs,'The rate of flow for carbon dioxide'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/carbon_dioxide>,<http://qudt.org/vocab/quantity#MassPerAreaTime>,"","","",skos:Concept|qudt:MechanicsQuantityKind|op:ScaledQuantityKind,"",carbon dioxide flux,"","",<http://qudt.org/vocab/quantity#MassPerAreaTime>,"","",'The rate of flow for carbon dioxide'^^xsd:string,"","","","",'carbon dioxide flux'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_dioxide_storage_flux>,eReefs,'carbon dioxide storage flux'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_dioxide>,<http://qudt.org/vocab/quantity#MassPerAreaTime>,"","","",op:ScaledQuantityKind|skos:Concept|qudt:MechanicsQuantityKind,"",carbon dioxide storage flux,"","",<http://qudt.org/vocab/quantity#MassPerAreaTime>,"","","","","","","",'carbon dioxide storage flux'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>,eReefs,'carbon - dissolved inorganic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_inorganic>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>,"","","",skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",carbon - dissolved inorganic concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>,"","","","","","","",'carbon - dissolved inorganic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>,eReefs,'carbon - dissolved organic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>,"",qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",carbon - dissolved organic concentration,<http://dbpedia.org/resource/Dissolved_organic_carbon>,"",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>,"",'carbon - dissolved organic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_disulfide_concentration>,eReefs,'carbon disulfide concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_disulfide>,<http://registry.it.csiro.au/def/environment/property/sulfide_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",carbon disulfide concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/sulfide_concentration>,"","","","","","","",'carbon disulfide concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>,eReefs,'carbon - inorganic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_inorganic>,<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>,"","","",skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",carbon - inorganic concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>,"","","","","","","",'carbon - inorganic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_monoxide_concentration>,eReefs,'carbon monoxide concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_monoxide>,<http://qudt.org/vocab/quantity#Concentration>,"","","",skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",carbon monoxide concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'carbon monoxide concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>,eReefs,'carbon - organic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>,"",op:ScaledQuantityKind|qudt:ChemistryQuantityKind|skos:Concept,"",carbon - organic concentration,<http://dbpedia.org/resource/Total_organic_carbon>,"",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>,"",'carbon - organic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>,eReefs,'carbon - suspended inorganic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon_inorganic>,<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>,"","","",qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",carbon - suspended inorganic concentration,"","",<http://registry.it.csiro.au/def/environment/property/carbon_average_content>|<http://registry.it.csiro.au/def/environment/property/carbon_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_organic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>,"","","","","","","",'carbon - suspended inorganic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration>,eReefs,'carbon - suspended organic concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>,"",qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",carbon - suspended organic concentration,"","",<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>,"",'carbon - suspended organic concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/carbon_suspended_total>,eReefs,'carbon - suspended total'@en,"",<http://registry.it.csiro.au/def/environment/object/carbon>,<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>,"",op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",carbon - suspended total,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/carbon_13_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_14_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_dissolved_inorganic_concentration>|<http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration>,"",'carbon - suspended total'@en,""
<http://registry.it.csiro.au/def/environment/property/carbonate_concentration>,eReefs,'carbonate concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/carbonate>,<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/calcium_carbonate_concentration>,"",op:ScaledQuantityKind|qudt:ChemistryQuantityKind|skos:Concept,"",carbonate concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/calcium_carbonate_concentration>,"",'carbonate concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/cation_concentration>,eReefs,'cation concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/cation>,<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre>|<http://qudt.org/vocab/unit#Percent>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",cation concentration,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'cation concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/cerium_concentration>,eReefs,'cerium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/cerium>,<http://registry.it.csiro.au/def/environment/property/lanthanide_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",cerium concentration,"","",<http://registry.it.csiro.au/def/environment/property/lanthanide_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'cerium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/chemical_compound_concentration>,eReefs,'Concentration of chemical compounds (a pure chemical substance consisting of two or more different chemical elements)'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/chemical_compound>,<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration>|<http://registry.it.csiro.au/def/environment/property/sulfide_concentration>|<http://registry.it.csiro.au/def/environment/property/iodide_concentration>|<http://registry.it.csiro.au/def/environment/property/fluoride_concentration>|<http://registry.it.csiro.au/def/environment/property/bromide_concentration>|<http://registry.it.csiro.au/def/environment/property/chloride_concentration>|<http://registry.it.csiro.au/def/environment/property/halide_concentration>,"",op:ScaledQuantityKind|qudt:ChemistryQuantityKind|skos:Concept,'Concentration of chemical compounds (a pure chemical substance consisting of two or more different chemical elements)'^^xsd:string,'chemical compound concentration'^^xsd:string,"","",<http://qudt.org/vocab/quantity#Concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/chloride_concentration>|<http://registry.it.csiro.au/def/environment/property/halide_concentration>|<http://registry.it.csiro.au/def/environment/property/iodide_concentration>|<http://registry.it.csiro.au/def/environment/property/bromide_concentration>|<http://registry.it.csiro.au/def/environment/property/fluoride_concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration>|<http://registry.it.csiro.au/def/environment/property/sulfide_concentration>,"",'chemical compound concentration'^^xsd:string,""
